,Name,Location,Brands
129,DEPARTAMENTO,"Los Angeles, United States","By Walid, Faith Conexion, Loewe, Marni, Yang Li"
130,DI PIERRO,"Taranto, Italy","3.1 Phillip Lim, Alexander Wang, Carven, Comme des Garçons, DSquared2, Golden Goose Deluxe Brand, Kenzo, Lardini, Les Hommes, MSGM, Marni, McQ Alexander McQueen, Moschino, Neil Barrett, Officine Creative, Stella McCartney"
131,DI'BEL,"Berlin, Germany","Alexander Terekhov, Aquazzura, Barbara Bui, Borsalino, Elie Saab, Erin Adamson, Hector Saxe, Joseph, Loro Piana, Marni, Msgm, N°21, Paul Andrew, Paule Ka, Rochas, Roland Mouret, Self Portrait, Zimmermann"
132,DILETTANTE,"Perth, Australia","Ann Demeulemeester, Christian Wijnants, Comme des Garçons, Issey Miyake Me, Issey Miyake Pleats Please, Kuboraum, Preen, Rick Owens, Rosa Maria Jewellery, Shaina Mote"
133,DISTANTE,"Belgrade, Serbia","1017 alyx 9sm, Alexander McQueen, Balenciaga, Celine, DUSAN, Fabrizio Viti, Fendi, Gianvito Rossi, JW Anderson, KHAITE, MSGM, Rick Owens, Zadig&Voltaire"
134,DISTINTO BOUTIQUE,"Bucharest, Romania","Alberta Ferretti, Antonio Marras, Boutique Moschino, Casadei, Gedebe, Giuseppe Zanotti, Herno, Le Silla, Moschino Couture, N21, Philosophy di Lorenzo Serafini, Red Valentino, Sergio Rossi"
135,DIVA,"Salzburg, Austria","Brunello Cucinelli, Chloé, Diane von Fürstenberg, Dolce & Gabbana, Isabel Marant, Max Mara, Saint Laurent"
136,DIVINCENZO,"Sant'Anastasia, Italy","AMI, Alessandra Rich, Alex Perry, Alexander Wang, Alexandre Vauthier, Axel Arigato, Bode, Casablanca, Comme Des Garcons, Coperni, Courreges, David Koma, Dries Van Noten, Erl, Heliot Emil, Helmut Lang, Jacquemus, Jil Sander, Khaite, Lanvin, Lemaire, Magda Butrym, Max Mara, Rabanne, Rhude, Rick Owens, Simone Rocha, Y/Project, Zegna, Zimmermann"
137,DIVO,"Santa Maria al Monte, Italy","Alexander Wang, Brunello Cucinelli, Burberry, Chloé, DSquared2, Dolce & Gabbana, Faliero Sarti, Fendi, Forte Forte, Givenchy, Lanvin, Maison Margiela, Marc Jacobs, Moncler, Moschino, Proenza Schouler, Roberto Cavalli, Saint Laurent, Stella McCartney"
138,DOLCI TRAME,"Siena, Italy","Alexander Wang, Ann Demeulemeester, Cacharel, Carven, Diane Von Fürstenberg, Faliero Sarti, Forte Forte, Givenchy, Goti, Haider Ackermann, Herno, Jil Sander, Kenzo, Reed Krakoff, Rick Owens, Sacai, Sacai Luck, See by Chloé"
139,DOMUSTORE,"Taranto, Italy","Alessi, Ginori 1735, Ivv, Lalique, Lladro, Qeeboo, Riedel, Rosenthal, Seletti, Versace, Villeroy & Boch, Wedgwood"
140,DOPE-FACTORY,"Funo, Italy","3.1 Phillip Lim, Comme des Garçons Shirt, Golden Goose Deluxe Brand, Kenzo, Maison Margiela, Marcelo Burlon County of Milan, Marni, Mykita, Neil Barrett, Off-White, Rick Owens Drkshdw, Rick Owens Lilies, Stone Island, Y-3"
141,DOSHABURI,"Barcelona, Spain","Ann Demeulemeester, Bernhard Willhelm, Bless, Chalayan, Individual Sentiments, Jeremy Scott, Kris Van Assche, Lemaire, Rick Owens"
142,DRESSING FACTORY VINTAGE,"Saint-Cyr-sur-Mer, France","Alaïa vintage, Chanel vintage, Céline vintage, Emilio Pucci vintage, Hermès vintage, Jean-Louis Scherrer vintage, Léonard vintage, Yves Saint Laurent vintage"
143,DU BROLIAI,"Vilnius, Lithuania","Brioni, Dolce & Gabbana, Giorgio Armani, Loro Piana, Moncler, Ralph Lauren, Valentino"
144,ED SHOES,"Barcelona, Spain","Comme des Garçons Comme des Garçons, Jil Sander, MM6 Maison Margiela, Maison Margiela, Marc Jacobs, Marni, Robert Clergerie"
145,EDO,"Ajaccio, France","Alexander McQueen, Balmain, Dior, Dsquared2, Moncler, Off-White, Palm Angels, Saint Laurent, Vans Vault"
146,EDONORA,"Bilbao, Spain","Adidas, Cole Haan, G-shock, New Balance, Puma, Reebok"
147,EDV BOUTIQUE,"Frattamaggiore, Italy","Armani, Dondup, Fendi, Hogan, Il Gufo, Moncler, Monnalisa, Moschino, No.21, Simonetta, Ugg, Versace"
148,EINWALLER,"Innsbruck, Austria","Alexander Mc Queen, Brunello Cucinelli, Dolce&Gabbana, Dsquared, Givenchy, Gucci, Moncler, Palm Angles, Prada, Saint Laurent, Stone Island, Valentino"
149,EKADEME,"Utrecht, Netherlands","AMBUSH, JW Anderson, Kolor, Lanvin, Loewe, North Face Black Series & More, OAMC. A-cold-wall, Pierre Hardy, Thom Browne, Wooyoungmi"
150,EKOH STUDIO,"Mykonos, Greece","69 Isaac Sellam, Barbara Alan, Eyepetizer, Heliot Emil, ISO.Poetism by Tobias Birk Nielsen, Kuboraum, Raf Simons, Y-3"
151,EKSEPTION MARBELLA,"PUERTO BANUS, Spain","Alessandra Rich, Chloé, Christian Louboutin, Gianvito Rossi, Jacquemus, Khaite, Magda Butrym, Roland Mouret, Stella McCartney, Vetements, Zimmermann"
152,ELEGANZA,"Groenekan, Netherlands","Acne Studios, Alexander McQueen, Canada Goose, Dior, Dsquared2, Givenchy, Golden Goose, Isabel Marant, Off-White, Palm Angels, Saint Laurent, Stone Island, Valentino"
153,ELEONORA BONUCCI,"VITERBO, Italy","Alexander McQueen, Balmain, Dior Homme, Givenchy, Jimmy Choo, Maison Margiela, Rick Owens, Saint Laurent, Stella McCartney, Thom Browne, Tom Ford"
154,ELEPHANTS,"KYOTO SHI NAKAGYO KU, Japan","Amiri, Balenciaga, Essentials, Fear of God, Heron Preston, Jil Sander, Marcelo Burlon, Martine Rose., Moncler, Off-white, Palm Angels, Readymade, Stone Island, Vetements"
155,ELEVASTOR,"Paris, France","Barragan, Charles Jeffrey, Cool, Justine Clenquet, MISBHV, Ninamounah, Telfar, Vaquera, Varon"
156,ELIGENS,"Barcelona, Spain","""Who Decides War"" by Ev Bravado., 1017 ALYX 9SM, 424, A-COLD-WALL, ADER ERROR, AMBUSH, HERON PRESTON, MARTINE ROSE, MASTERMIND, OFF WHITE, PALM ANGELS, READYMADE, RHUDE"
157,ELITA COLLECTION,"Melbourne, Australia","Audemars Piguet, Hermes, Patek Philippe, Richard Mille, Rolex"
158,ELITE,"Marbella, Spain","Alexander McQueen, Alexander Wang, Balmain, Charlotte Olympia, Dsquared², Emilio Pucci, Giorgio Armani, Giuseppe Zanotti, Givenchy, Kenzo, Lanvin, Mary Katrantzou, Moschino, Roberto Cavalli, Versace"
159,ELLITE ALTEA,"ALTEA, Spain","Brunello Cuccinelli, Dondup, Herno, James Perse, Kiton, Lanvin, Lorena Antoniazzi, Marysia, Matsuda, Memo, N21, Peserico, Stefano Ricci"
160,EMERSON RENALDI,"Nuernberg, Germany","Chloé, DSQUARED2, Dolce & Gabbana, Giuseppe Zanotti, Golden Goose Deluxe Brand, Kenzo, MSGM, McQ by Alexander McQueen, Neil Barrett, Valentino Garavani"
161,ENTRANCE,"Bucharest, Romania","Cinzia Araia, Gareth Pugh, Guidi, Isaac Sellam, Issey Miyake, Lost And Found, Marsèll, Rick Owens, Rosa Maria, Simone Rocha, Thom Browne, Vava, Y-3"
162,EQUIPE,"San Marcellino, Italy","Alexander Wang, Alice Olivia, Givenchy, Herno, Hood By Air, KTZ, MM6 Maison Margiela, Marcelo Burlon, McQ Alexander McQueen, Moschino, Pierre Balmain, Rick Owens DRKSHDW, Y-3"
163,ERALDO,"Ceggia, Italy","3.1 Phillip Lim, Alexander McQueen, Alexander Wang, Ann Demeulemeester, Carven, Charlotte Olympia, Chiara Faragni, Chloé, Christopher Kane, Dolce & Gabbana, Fendi, Lanvin, Proenza Schouler, Saint Laurent, Stella McCartney"
164,"ETOILE ""LA BOUTIQUE""","Dubai, U.A.E.","Alexander Wang, Alexis Mabille, Aquazzura, Christopher Kane, Greta Constantine, Huishan Zhang, Ingie Paris, N.21, Needle & Thread, Osman, Philosophy, Rejina Pyo, Rochas, The Volon, Three Floor, Zac Posen"
165,ETRE - VESTIRE,"Mantova, Italy","3.1 Philip Lim, Antonio Marras, Burberry, Daniela Gregis, Faliero Sarti, Jil Sander, Marsèll, Michael Kors, P.A.R.O.S.H, Pier Antonio Gaspari, Ralph Lauren, Repetto, Sacai, Ter et Bantine, Versace Collection"
166,EX VOTO,"Naples, Italy","Ann Demeulemeester, Cedric Charlier, Comme des Garcons, Haider Ackermann, Ilaria Nistri, Issey Miyake, Junya Watanabe, Marsèll, Noir Kei Ninomiya, Philosophy, Sacai"
167,FAMILY 3.0,"Avignon, France","Canada Goose, Kenzo, Maison Kitsuné., Maison Margiela, Moschino, Stone Island, Y-3"
168,FAMILY 3.0 AIX,"Aix en Provence, France","A-COLD-WALL, Arc'teryx, Axel Arigato, Canada Goose, Drôle de Monsieur, Kenzo, Maison Kitsuné, Maison Margiela, Marni, Moschino, Paul & Shark, Salomon., Y-3"
169,FASHION CLINIC,"Lisbon, Portugal","Balmain, Dolce & Gabbana, Dsquared2, Etro, Fashion Clinic, Givenchy, Isabel Marant, Jimmy Choo, Kenzo, Moncler, Paul Smith, Saint Laurent, Stella McCartney"
170,FASHION GALLERY,"Tivat, Montenegro","Alexander McQueen, Balenciaga, Billionaire, Dolce & Gabbana, Dries van Noten, Dsquared2, Ermanno Scervino, Gucci, Philipp Plein, Valentino"
171,FELICIOTTO,"Taormina, Italy","Adidas by Raf Simons, Comme des Garçons Play, Comme des Garçons Shirt, Maison Kitsunè, Mykita, Y-3"
172,FEUILLE LUXURY,"Vancouver, Canada","8-Bit, DRKSHDW, Dom Rebel, Haculla, Heron Preston, IH NOM UH NIT, Kenzo, Marcelo Burlon County of Milan, McQ Alexander McQueen, Moschino, Off-White, Palm Angels, Rhude, Rick Owens"
173,FIACCHINI,"Forte dei Marmi, Italy","3.1 Phillip Lim, Alexander McQueen, Alexander Wang, Balmain, Charlotte Olympia, Chloé, Giuseppe Zanotti Design, Givenchy, Haider Ackermann, Kenzo, Lanvin, Marc Jacobs, Michael Kors, Moschino, Proenza Schouler, Rick Owens, Rochas, Stella McCartney, Tom Ford, Valentino"
174,FIRIS,"Vienna, Austria","6397, A.W.A.K.E, Ann Demeulemeester, Christopher Kane, Erdem, Gosha Rubchinskiy, Isa Arfen, Julien David, Kristensen Du Nord, Natasha Zinko, Simone Rocha, The Row, Walk of Shame, Zucca"
175,FIRST BOUTIQUE,"Limassol, Cyprus","16Arlingon, Alanui, Amina Muaddi, Amiri, Area, Balenciaga Eyewear, Benedetta Bruzziches, Bottega Veneta Eyewear, Brunello Cucinelli, Casablanca, Dion Lee, Dita, Ermanno Scervino, Golden Goose, Ksubi, Lanvin, Linda Farrow, Low Classic, Mach & Mach, Mugler, Nanushka, New Arrivals, Off-white, Palm Angels, Rotate, The Attico, The Mannei, The Row, Y-3, Zimmermann"
176,FIRST FEMME,"Aix en Provence, France","Balmain, Chloe, Moncler, Prada, Saint Laurent, Valentino"
177,FIRST HOMME,"Aix en Provence, France","Adidas x Raf Simons, Balenciaga, Dsquared2, Lanvin, Moncler, Prada, Saint Laurent, Valentino"
178,FIVE,"Leiria, Portugal","Burberry London, Chloé, Dirk Bikkembergs, Dolce & Gabbana, Dsquared², Emporio Armani, Etro, Jacob Cohen, M Missoni, Marni, Max Mara Studio, Missoni, Roberto Cavalli, Sand, Sportmax, Valentino Garavani"
179,FLORISSIMA,"Bitonto, Italy","CAFFE D'ORZO, CALVIN KLEIN, EMILIO PUCCI, FAY, GOLDEN GOOSE, MARNI, MIMISOL, N°21, PHILIPPE MODEL, STELLA MCCARTNEY, TOMMY HILFIGER, TOURISTE"
180,FLORISSIMA,"Bitonto, Italy","CAFFE D'ORZO, CALVIN KLEIN, EMILIO PUCCI, FAY, GOLDEN GOOSE, MARNI, MIMISOL, N°21, PHILIPPE MODEL, STELLA MCCARTNEY, TOMMY HILFIGER, TOURISTE"
181,FOEGER WOMAN PURE,"Telfs, Austria","Aquazurra, Balenciaga, Brunello Cucinelli, Céline, Dries van Noten, Gucci, Loewe, Moncler, N°21, Off-White, Rick Owens, The Row, Tod's"
182,FOOTSHOP,"Prague, Czech Republic","A-COLD-WALL*, AMBUSH, C.P. Company, Comme des Garçons, Heron Preston, MISBHV, Raf Simons, Rick Owens"
183,FORUM,"Palma de Mallorca, Spain","Carven, Forte Forte, Golden Goose, Isabel Marant, K. Jacques St-Tropez, T By Alexander Wang, Victoria Victoria Beckham"
184,FRANK STORE,"Ourense, Spain","Ami Paris, Aries, C.P. Company, Emporio Armani, Heron Preston, Karl Lagerfeld, Kenzo, Marc Jacobs, Marcelo Burlon, Moschino, New Balance., Paul Smith, Versace Jeans"
185,FRANKBROS,"Piacenza, Italy","Bitossi Ceramiche, Georg Jensen, Gucci Décor, Hay, L'Objet, Magis, Michaël Verheyden, Sargadelos, Serax, Tom Dixon, Venini, Vitra, Zaha Hadid Design"
186,FUSCO,"Potenza, Italy","Alexander Wang, Aquazzura, Dolce & Gabbana, Golden Goose, Gucci, Jil Sander, Jimmy Choo, Maison Margiela, Miu Miu, Off-White, Palm Angels, Salvatore Ferragamo, Stella McCartney., Stone Island"
187,GALIANO,"Naples, Italy","Alexander Wang, Charlotte Olympia, DSQUARED2, Dolce & Gabbana, Duvetica, Giuseppe Zanotti, Golden Goose Deluxe Brand, Hogan, Lanvin, Marc Jacobs, Neil Barrett, Philipp Plein, Saint Laurent"
188,GALLERY ANDORRA,"Andorra la Vella, Andorra","Chloé, Christian Louboutin, Diane Von Furstenberg, Erika Cavallini Semi-Couture, Faliero Sarti, Forte_Forte, Isabel Marant, Lanvin, Sergio Rossi, Stella McCartney, T by Alexander Wang"
189,GATE,"Berlin, Germany","11 by boris, Casablanca, Helmut Lang, Junya Wantanabe, Juun.J, Mackintosh, Marni, Martine Rose, Misbhv, Raf Simons, Stone Island, Undercover, Xander Zhou"
190,GAUDENZI,"Rimini, Italy","3.1 Phillip Lim, Alexander McQueen, Bulgari, Carven, Casadei, Christopher Kane, Diane Von Furstenberg, Dsquared², Emilio Pucci, Fendi, Giuseppe Zanotti, Marc Jacobs, Marni, Moncler, Saint Laurent, Tod's, Valentino"
191,GENTE ROMA,"Rome, Italy","Alexander McQueen, Balmain, Chloé, Dolce & Gabbana, Duvetica, Fendi, Gianvito Rossi, Jil Sander, Lanvin, M Missoni, Markus Lupfer, Mary Katrantzou, Proenza Schouler, Sergio Rossi, Stella McCartney, Tory Burch"
192,GEPPETTO,"Innsbruck, Austria","Armani, Balmain, Bonpoint, Canada Goose, Dsquared2, Karl Lagerfeld, Moncler, Monnalisa, Moschino, Polo Ralph Lauren, Stone Island, Tartine & Chocolat, Woolrich"
193,GIBOT SRL,"Rome, Italy","Alberta Ferretti, Alexander Wang, Brunello Cucinelli, Helmut Lang, Marc Jacobs, Moncler, Moschino, Paco Rabanne, Play Comme des Garcons, Proenza Schouler, Red V, Stone Island"
194,GIO MORETTI,"Milan, Italy","Alberta Ferretti, Alexander McQueen, Balmain, Brunello Cucinelli, Giambattista Valli, Givenchy, Jimmy Choo, Louboutin, Moncler, Neil Barrett, Saint Laurent, The Attico, Versace"
195,GIOIA DEI BIMBI,"Potenza, Italy","DSQUARED2, ELISABETTA FRANCHI, FAY, HERNO, IL GUFO, JEREMY SCOTT, KARL LAGERFELD, KENZO, MARCELO BURLON, MARNI., MOSCHINO, N .21, STONE ISLAND"
196,GISA,"Chiaravalle, Italy","Alice + Olivia, Armani Collezioni, Balenciaga, Bally, D.Exterior, Diane Von Furstenberg, Dolce & Gabbana, Dondup, Erika Cavallini, Ermanno Scervino, Fay, Gianluca Capannolo, Givenchy, Happiness, Herno, Les Copains, Longchamps, Marc by Marc Jacobs, Michael Kors, Moncler, Philipp Plein, Pinko, Roberto Cavalli, Stuart Weitzman, Tory Burch"
197,GLASSES ON,"Vilnius, Lithuania","Celine, Chrome Hearts, Dior, Gucci, Jacquemus, Lapima, Loewe, Mykita, Peter and May, Rigards, Saint Laurent, Tom Ford"
198,GOLF CLUB BOUTIQUE,"Orzinuovi, Italy","Alexander McQueen kids, Balmain, Balmain kids, Brunello Cucinelli, Burberry, Burberry kids, Canada Goose, Dsquared2, Etro, Givenchy kids, Golden Goose, Gucci kids, Heron Preston, Kenzo, Kenzo kids., Marcelo Burlon, Max Mara, Moncler, Moncler kids, Moschino, Msgm, Stone Island, Versace kids"
199,GORE,"Torrevieja, Spain","Alexander Wang, Brioni, Dolce & Gabbana, Etro, Isabel Marant, Moncler, Philipp Lim, Saint Laurent, Stella McCartney, Valentino"
200,GRACE,"Armadale, Australia","3.1 Phillip Lim, Balmain, Bella Freud, Cecilie Copenhagen, Frame Denim, Laurence Dacade, MSGM, Maison Michel, Marco de Vincenzo, Preen, Proenza Schouler, Sea New York, Yves Salomon"
201,GRETTA LUXE,"Wellesley, United States","Barbara Bui, Chloé, Marc Jacobs, Michael Kors, Proenza Schouler, Stella McCartney, Yigal Azrouel and 3.1 Phillip Lim"
202,GRIFO,"Ischia, Italy","Aquazzura, Dolce & Gabbana, Givenchy, Maison Margiela, Marni, Off-White, Rick Owens, Saint Laurent"
203,GSCHWANTLER,"Kirchberg, Austria","3.1 Phillip Lim, Avant Toi, Chiara Ferragni, Kenzo, Salvatore Santoro"
204,H. LORENZO,"Los Angeles, United States","Ann Demeulemeester, Damir Doma, Julius"
205,H.V.N.,"London, United Kingdom","Alexandra Llewellyn to name but a few., Audemars Piguet, Hermès, Panerai, Patek Philippe, Richard Mille, Rolex"
206,HANNOVER 1998,"Valencia, Spain","Brunello Cucinelli, Canalli, Fay, Hackett, Hogan, Incotex, Jacob Cohën, Loro Piana, Moncler, Orlebar Brown"
207,HARVEY NICHOLS,"Northampton, United Kingdom","Alexander McQueen, Gucci, Off White, Saint Laurent, Stella McCartney"
208,HEAT,"Rotherham, United Kingdom","Aya Muse., Billionaire Boys Club, Casablanca, Coperni, Greg Lauren, Judy Turner, Maisie Willen, Miaou, Nanushka, Phipps, Soulland, The Elder Statesman, Wales Bonner"
209,HEAVEN,"Budapest, Hungary","Alexander Wang, Balenciaga, Chloé, Céline, Dolce Gabbana, Dsquared2, Givenchy, Kenzo, Off-White, Rick Owens, Saint Laurent, Stella McCartney, Stone Island, Valentino"
210,HENRIK VIBSKOV,"Copenhagen, Denmark","A. Roge Hove, Adidas x Wales Bonner, BAO BAO Issey Miyake, Comme des Garçons Girl, Comme des Garçons Play, Comme des Garçons Wallet, Henrik Vibskov, Homme Plissé Issey Miyake, Kinraden, Maison Margiela, Pleats Please Issey Miyake, Rick Owens x DRKSHW, Rombaut, Viktor & Rolf, Y-3, Yume Yume"
211,HENRIK VIBSKOV BOUTIQUE NYC,"New York, United States","Anntian, Bernhard Willhelm, Bless, Comme des Garcons Converse, Comme des Garcons Play, Comme des garcons Perfume, Grey Ant, Henrik Vibskov, House of the Very Island's, Unridden, Vibe Harslof, Walter Van Beirendonck"
212,HERALDI,"Zagreb, Croatia","Church’s, Jil Sander, Joseph, Paul Smith, Preen by Thornton Bregazzi, Proenza Schouler, Rochas, Tabitha Simmons, Victoria Victoria Beckham"
213,HIONIDIS,"Thessaloniki, Greece","Balenciaga, Comme des Garcons, Dgnak, Dsquared, Givenchy, Kenzo, Off-white, Palm Angels, Rick owens, Saint laurent, Stone island, Valentino"
214,HIRSHLEIFERS,"Manhasset, United States","3.1 Phillip Lim, AR, Alexander McQueen, Alexander Wang, Avant Toi, Band of Outsiders, Charlotte Olympia, Frank & Eileen, Givenchy, Lanvin, Libertine, Loewe, Lucien Pellet Finet, Maison Margiela, Moncler, Proenza Schouler, R13, Sacai, Saint Laurent, Stella McCartney, The Elder Statesman, The Row, Thom Browne"
215,HOPEN,"Cerasolo, Italy","A.P.C, Ami Paris, CDG Play, Dries Van Noten, Ganni, Isabel Marant, Lemaire, MM6 Maison Margiela, Martine Rose, Needles, Paloma Wool, Rick Owens, Sporty & Rich."
216,HTOWN,"London, United Kingdom","AGR, Ahluwalia, Aries, Dion Lee, ERL, Eckhaus Latta, JW Anderson, Martine Rose, Saul Nash, Spencer Badu, Y/Project"
217,HUESKEN,"Bielefeld, Germany","Agnona, Brunello Cucinelli, Carven, Chloé, Diane von Furstenberg, Etro, Fabiana Filippi, Giorgio Armani, IRO, Jimmy Choo, Lanvin, MSGM, MaxMara, Missoni, Moncler, Odeeh, Talbot Runhof, Tory Burch, Valentino"
218,HULA,"Quarry Bay, Hong Kong SAR","Alaïa, Alexander McQueen, Balenciaga, Celine, Chanel, Chloé, Christian Dior, Christian Louboutin, Gucci, Hèrmes, Louis Vuitton, Saint Laurent, Stella McCartney, Valentino."
219,IAMNUE,"La Coruña, Spain","APC, Acne Studios, Ami, Aries, Casablanca, Comme Des Gracons, Lanvin, Lemaire, Marine Serre, Marni, Our Legacy, Stone Island"
220,IAMNUE,"La Coruña, Spain","APC, Acne Studios, Ami, Aries, Casablanca, Comme Des Gracons, Lanvin, Lemaire, Marine Serre, Marni, Our Legacy, Stone Island"
221,ICON,"Salzburg, Austria","Balmain, Christopher Kane, Coach, Dolce & Gabbana, Etro, Gucci, Lanvin, MCM, Salvatore Ferragamo, Tom Ford"
222,ID CONCEPT STORE,"Split, Croatia","Aeyde, Anine Bing, Baum Und Pferdgarten, Frame, Ganni, Gia Borghini, MSGM, Nanushka., Raiine, ReDone, Rotate, Tol Eyewear, Veja"
223,IDRISI,"Bilbao, Spain","Dsquared², Givenchy, Jil Sander, Lanvin, Philipp Plein, Rick Owens, Valentino, Y3 Yohji Yamamoto"
224,IL DUOMO,"Novara, Italy","Alaïa, Balenciaga, Berluti, Bottega Veneta, Chloé, Dior, Gianvito Rossi, Givenchy, Gucci, Jacquemus, Jil Sander, Loewe, Maison Margiela, Manolo Blahnik, Mastermind Japan, Prada, Saint Laurent, The Row, Tom Ford, Valentino, Vetements"
225,IL FARO,"Avellino, Italy","AMI, DSQUARED2, Eleventy, Givenchy, Golden Goose Deluxe Brand, Lanvin, Marcelo Burlon County of Milan, McQ Alexander McQueen, Moncler, Neil Barrett, Off-White, Palm Angels, Saint Laurent, Stone Island, Valentino, Valentino Garavani"
226,IL SELLAIO,"Casatenovo, Italy","Aquazzurra, Celine, Chloè, Cycle, Dries Van Noten, Etoile Isabel Marant, Golden Goose, Herno, Kenzo, Loewe, MSGM, Marni., Max Mara, Moncler, Pinko, See by Chloè, Stella McCartney"
227,IMPACT MOOD,"Milan, Italy","1017 ALYX SM, A.P.C., AMI PARIS, DSQUARED2, ETRO, GANNI, ISABEL MARANT, ISABEL MARANT ETOILE, JW ANDERSON, MAISON MARGIELA, MARNI, THOM BROWNE"
228,IN-CON-TRO,"Trento, Italy","Acne Studios, Closed, Ganni, Golden Goose, Heron Preston, Kurt Geiger, MM6, Off White, Sofie d’Hoore., Stone Island"
229,INCA77,"Eindhoven, Netherlands","ALYX, AMIR, Acne Studios, Adidas., MISBHV, Marine Serre, Martine Rose, Off White, Ottolinger, Raf Simons, Reese Cooper, Rick Owens, Saks Potts"
230,INCROCIO,"Athens, Greece","Barba Napoli, Boglioli, Canada Goose, Canali, Corneliani, Dsquared2, Herno, Isaia, Jacob Cohen, Orlebar Brown, Polo Ralph Lauren, Santoni, Vilebrequin"
231,INDICE,"Brescia, Italy","Ambush, Anna Karin Karlsson, Cazal, Céline, Frency & Mercury, Jacques Marie Mage, Kuboraum, Matsuda, Moscot, Retrosuperfuture, Roberi and Fraud, Victoria Beckham, Yohji Yamamoto"
232,INSIGHT,"Rome, Italy","Ambush, Balmain, Brunello Cucinelli, Burberry, Canada Goose, Church's, DSquared2, Dries Van Noten, Golden Goose, Heron Preston, Jil Sander, Kenzo, Lanvin, MSGM, Maison Kitsune, Maison Margiela, Marni, Max Mara, Missoni, Moschino, Mother, Nanuska, Off-white, Palm Angels, Philip Plein, Phillip Lim, Red Valentino, Rick Owens, Self-portrait, Sergio Rossi, Sophia Webster, Stone Island, Stuart Weitzman, Thom Browne, Tod's, Tory Burch, Victoria Beckham, Zimmermann."
233,INTERVISTA,"Thessaloniki, Greece","Armani, Dsquared, Etro, Herno, Hugo Boss, Jil Sander, Lanvin, M Missoni, Moncler, Plein Sport, Valentino"
234,ISOLDA BR,"São Paulo, Brazil",0
235,ITALIANI,"Pescara, Italy","Dolce & Gabbana, Dsquared², Fendi, Giorgio Armani, Givenchy, Haider Ackermann, Kenzo, Lanvin, Maison Margiela, Marsèll, Moncler, Off White, Rick Owens, Sacai, Saint Laurent"
236,JADE,"Ravenna, Italy","3.1 Phillip Lim, Alexander Wang, Balmain, Carven, Chloé, Dsquared2, Emilio Pucci, Faith Connexion, Kenzo, Maison Margiela, Moschino, Red Valentino, Rochas"
237,JANES,"Braga, Portugal","Dsqaured², Ermenegildo Zegna, Etro, Marc by Marc Jacobs, Moncler"
238,JEAN PIERRE BUA,"Barcelona, Spain","Chloé, Dries Van Noten, Dsquared2, Emanuel Ungaro, Erika Cavallini, Faith Connexion, Junya Watanabe, Les Hommes, Lost & Found, MSGM, Marc Jacobs, Marni, Y-3, Zuhair Murad"
239,JENNIFER GIBSON,"Wilmslow, United Kingdom","Chanel, Christian Lacroix, Dior, Givenchy, Kenneth Lane, Philippe Ferrandis, Saint Laurent, Versace"
240,JESUS,"Ourense, Spain","Canali, DSquared2, Dolce & Gabbana, Etro, Lanvin, Moncler, Moncler Gamme Bleu."
241,JEWELLERY ATELIER,"Limassol, Cyprus","Chopard, De Grisogono, Elise Dray, Garrard, Gavello, Gemco, Gems n'Crafts, Harry Winston, Loree Rodkin, Lydia Courteille, Natasha Zinco, Nikos Koulis, Stephen Webster, Very Gavello"
242,JOFRE,"Reus, Spain","Givenchy, Golden Goose, Helmut Lang, Marc Jacobs, Moncler, Nina Ricci, Roberto Del Carlo, Saint Laurent, Tory Burch, Victoria Beckham"
243,JULIAN FASHION,"Savio, Italy","Ann Demeulemeester, Balmain, Comme des Garçons, Dolce & Gabbana, Emilio Pucci, Fausto Puglisi, Giuseppe Zanotti, Haider Ackermann, Junya Watanabe, Michael Kors, Missoni, Moschino, Philippe Model, Proenza Schouler, Rick Owens, Roland Mouret, Sergio Rossi, Stella McCartney, The Row"
244,JULIANNE,"Port Washington, United States","Belstaff, Carolina Herrera, J.Mendel, Jason Wu, Kaufmanfranco, Lanvin, Mary Katrantzou, Monique Lhuillier, N. 21, Nina Ricci, Rick Owens, Saint Laurent, Thom Browne"
245,JUNIOR COUTURE,"Dubai, U.A.E.","Aigner, Alviero Martini, Balmain, Boss, Calvin Klein, Chloe, DKNY, Emilio Pucci, Karl Lagerfeld, Kenzo, Moschino Kids, The Marc Jacobs, Tommy Hilfiger"
246,KASURI,"Hudson, United States","Ann Demeulemeester, Cinzia Araia, Comme des Garçons, Issey Miyake, Issey Miyake Kristen Hanson, Jeremy Scott, Junya Watanabe, Linda Farrow, Lost & Found, Mykita, Rick Owens, Vivienne Westwood, Yohji Yamamoto"
247,KATHELEYS VINTAGE,"Verviers, Belgium","Chanel Vintage, Dior Vintage, Hermès Vintage, YSL Vintage, special pieces of high quality."
248,KERSHKICKS,"Manchester, United Kingdom","Fear of God Essentials, Jordan, New Balance, Nike, Nike SB, Off-White, Sacai, Travis Scott, Yeezy"
249,KETY PANIAGUA,"Madrid, Spain","Balmain, Emmanuelle Ungaro, Ermanno Scervino, Giambattista Valli, Moschino, Roberto Cavalli, Valentino"
250,KIRNA ZABÊTE,"New York, United States","Adam Lippes, Bottega Veneta, Elder Statesman, Golden Goose, Gucci, Johanna Ortiz, Khaite, La DoubleJ, Loewe, Nili Lotan, Sacai, Saint Laurent, Silvia Tcherassi, Tibi, Zimmermann."
