,Name,Location,Brands
30,ANTONIOLI LUGANO,"Lugano, Switzerland","Amiri, Balmain, Dries Van Noten, Haider Ackermann, Heron Preston, JW Anderson, Junya Watanabe, Maison Margiela, Off White, Raf Simons, Rick Owens, Vetements, Yeezy"
31,ANTORA,"Baden-Baden, Germany","Alberta Ferretti, Chloé, Etro, Giuseppe Zanotti Design, Jil Sander, Jimmy Choo, Matthew Williamson, Michael Kors, Roberto Cavalli, Valentino"
32,APARTERRE,"Bucharest, Romania","Assouline, Dion Lee, J Hannah, Linda Farrow, Litkovskaya, Mugler, Noire, Nomenclature, Ports 1961, Rejina Pyo, Simone Rocha, Stand Studio, V:PM Atelier, Y/Project"
33,APRANGA ESTONIA,"TALLIN, Estonia","Acne Studios, Balenciaga, Dolce&Gabbana, Gucci, Moncler, Saint Laurent, Zimmermann"
34,APRANGA LITHUANIA,"Vilnius, Lithuania","Acne Studios, Balenciaga, Bottega Veneta, Celine, Jil Sander, Marni, Philip Lim, Proenza Schouler, Sacai, Stella McCartney, Wandler"
35,APROPOS THE CONCEPT STORE,"Cologne, Germany","Alexander McQueen, Gianvito Rossi, Giorgio Armani, Gucci, Jil Sander, Manolo Blahnik, Moncler, Saint Laurent, Valentino, Zimmermann"
36,ARIAS,"Palma de Mallorca, Spain","Balmain, Celine, Dior, Premiata and Malo, Valentino"
37,ATELIER NY,"New York, United States","A Diciannoveventitre, Balmain, Chloé, Giuseppe Zanotti Design, Guidi, Julius, Maison Margiela, Maison Michel, Moschino, Off White, Rick Owens, Yang Li, Yohji Yamamoto"
38,AU FUSEAU,"Spa, Belgium","AMI, Dsquared2, Golden Goose, Herno, Hogan, Isabel Marant Étoile, Jacob Cohen, Jérôme Dreyfuss, Moncler, Parajumpers., Premiata, Stone Island, Zadig & Voltaire"
39,AUZMENDI,"San Sebastián, Spain","Ann Demeulemeester, Dolce & Gabbana, Jil Sander, Marni, Missoni, Neil Barrett, Sacai, Saint Laurent"
40,BABY LIBERDADE,"Lisbon, Portugal","Boss. Fendi, Dolce & Gabbana, Gucci, Monnalisa, Versace"
41,BABYLON BUS MEN,"Prato, Italy","Comme des Garçons, Duvetica, Faliero Sarti, Kenzo, Marc by Marc Jacobs, Marsèll, Paul Smith, Roberta Collina"
42,BABYLON BUS WOMEN,"Prato, Italy","3.1 Philip Lim, Alexander Wang, Carven, Diane Von Fürstenburg, Faliero Sarti, Forte Forte, Giorgio Brato, James Perse, Marc by Marc Jacobs, Nina Ricci, Repetto, Sacai Luck"
43,BARCODE 23,"LLEIDA, Spain","Burberry, Canada Goose, Dolce & Gabbana, Givenchy, Moncler, Off-White, Saint Laurent, Stone Island"
44,BASE BLU,"Varano Borghi, Italy","Alessandra Rich, Alexandre Birman, Attico, Calvin Klein, Magda Butrym, Mark Cross, Off White, Oscar Tiye, Self Portrait"
45,BEDIN,"Vicenza, Italy","BRUNELLO CUCINELLI, CHLOE, DOLCE & GABBANA, PUCCI, SAINT LAURENT, TOM FORD, VERSACE, ZIMMERMANN"
